deal_id,stage,probability,deal_size,expected_close_date,sales_rep,segment,acquisition_channel,sales_cycle_days
DEAL-2030,Demo,0.3,36000,2026-07-01,Jordan,SMB,Outbound,106
DEAL-2031,Demo,0.3,314000,2026-06-01,Riley,Enterprise,Event,139
DEAL-2032,Negotiation,0.8,89000,2026-05-01,Avery,Mid-Market,Inbound,90
DEAL-2033,Proposal,0.65,23000,2026-07-01,Casey,SMB,Outbound,61
DEAL-2034,Evaluation,0.5,98000,2026-06-01,Taylor,Mid-Market,Outbound,110
DEAL-2035,Demo,0.3,80000,2026-05-01,Jordan,Mid-Market,Partner,68
DEAL-2036,Discovery,0.15,385000,2026-12-01,Avery,Enterprise,Partner,105
DEAL-2037,Demo,0.3,153000,2026-01-01,Jordan,Mid-Market,Outbound,49
DEAL-2038,Discovery,0.15,103000,2026-06-01,Morgan,Mid-Market,Inbound,82
DEAL-2039,Discovery,0.15,143000,2026-01-01,Morgan,Mid-Market,Inbound,94
DEAL-2040,Evaluation,0.5,45000,2026-04-01,Morgan,SMB,Event,52
DEAL-2041,Proposal,0.65,112000,2026-07-01,Jordan,Mid-Market,Partner,80
DEAL-2042,Evaluation,0.5,175000,2026-10-01,Avery,Mid-Market,Inbound,88
DEAL-2043,Proposal,0.65,151000,2026-03-01,Jamie,Mid-Market,Event,69
DEAL-2044,Evaluation,0.5,52000,2026-08-01,Casey,SMB,Partner,65
DEAL-2045,Negotiation,0.8,88000,2026-02-01,Jamie,Mid-Market,Partner,67
DEAL-2046,Discovery,0.15,101000,2026-01-01,Taylor,Mid-Market,Outbound,64
DEAL-2047,Discovery,0.15,386000,2026-09-01,Jordan,Enterprise,Partner,125
DEAL-2048,Commit,0.92,22000,2026-05-01,Morgan,SMB,Outbound,67
DEAL-2049,Discovery,0.15,138000,2026-12-01,Jamie,Mid-Market,Event,50
DEAL-2050,Demo,0.3,38000,2026-11-01,Jordan,SMB,Partner,51
DEAL-2051,Demo,0.3,58000,2026-11-01,Avery,SMB,Partner,47
DEAL-2052,Negotiation,0.8,112000,2026-12-01,Taylor,Mid-Market,Inbound,75
DEAL-2053,Discovery,0.15,105000,2026-12-01,Morgan,Mid-Market,Inbound,84
DEAL-2054,Commit,0.92,31000,2026-11-01,Casey,SMB,Inbound,75
DEAL-2055,Proposal,0.65,81000,2026-11-01,Casey,Mid-Market,Partner,83
DEAL-2056,Proposal,0.65,32000,2026-09-01,Jordan,SMB,Inbound,63
DEAL-2057,Proposal,0.65,224000,2026-01-01,Taylor,Enterprise,Outbound,123
DEAL-2058,Discovery,0.15,128000,2026-01-01,Morgan,Mid-Market,Inbound,89
DEAL-2059,Demo,0.3,38000,2026-10-01,Avery,SMB,Outbound,42
DEAL-2060,Discovery,0.15,38000,2026-12-01,Casey,SMB,Inbound,34
DEAL-2061,Demo,0.3,33000,2026-06-01,Taylor,SMB,Inbound,54
DEAL-2062,Proposal,0.65,80000,2026-11-01,Jordan,Mid-Market,Event,83
DEAL-2063,Negotiation,0.8,31000,2026-01-01,Casey,SMB,Partner,41
DEAL-2064,Demo,0.3,27000,2026-06-01,Jordan,SMB,Partner,48
DEAL-2065,Discovery,0.15,27000,2026-07-01,Jordan,SMB,Inbound,53
DEAL-2066,Discovery,0.15,34000,2026-12-01,Riley,SMB,Outbound,55
DEAL-2067,Demo,0.3,24000,2026-05-01,Jordan,SMB,Inbound,61
DEAL-2068,Discovery,0.15,83000,2026-11-01,Morgan,Mid-Market,Outbound,81
DEAL-2069,Discovery,0.15,99000,2026-09-01,Morgan,Mid-Market,Inbound,79
DEAL-2070,Proposal,0.65,69000,2026-06-01,Jamie,Mid-Market,Outbound,77
DEAL-2071,Proposal,0.65,229000,2026-03-01,Riley,Enterprise,Partner,149
DEAL-2072,Discovery,0.15,134000,2026-04-01,Jordan,Mid-Market,Inbound,130
DEAL-2073,Discovery,0.15,137000,2026-09-01,Avery,Mid-Market,Outbound,98
DEAL-2074,Discovery,0.15,393000,2026-02-01,Jamie,Enterprise,Inbound,125
DEAL-2075,Commit,0.92,170000,2026-03-01,Jamie,Mid-Market,Event,107
DEAL-2076,Negotiation,0.8,166000,2026-03-01,Jamie,Mid-Market,Inbound,112
DEAL-2077,Proposal,0.65,117000,2026-07-01,Taylor,Mid-Market,Outbound,68
DEAL-2078,Discovery,0.15,35000,2026-07-01,Riley,SMB,Partner,18
DEAL-2079,Commit,0.92,27000,2026-09-01,Riley,SMB,Inbound,53
DEAL-2080,Discovery,0.15,26000,2026-10-01,Jordan,SMB,Outbound,70
DEAL-2081,Discovery,0.15,123000,2026-12-01,Avery,Mid-Market,Partner,87
DEAL-2082,Demo,0.3,21000,2026-11-01,Casey,SMB,Partner,62
DEAL-2083,Negotiation,0.8,91000,2026-12-01,Riley,Mid-Market,Inbound,73
DEAL-2084,Proposal,0.65,36000,2026-11-01,Jordan,SMB,Inbound,46
DEAL-2085,Evaluation,0.5,96000,2026-01-01,Avery,Mid-Market,Outbound,78
DEAL-2086,Discovery,0.15,88000,2026-03-01,Avery,Mid-Market,Inbound,74
DEAL-2087,Negotiation,0.8,27000,2026-12-01,Avery,SMB,Outbound,49
DEAL-2088,Evaluation,0.5,29000,2026-04-01,Avery,SMB,Partner,48
DEAL-2089,Evaluation,0.5,32000,2026-10-01,Avery,SMB,Partner,63
DEAL-2090,Proposal,0.65,117000,2026-12-01,Casey,Mid-Market,Outbound,88
DEAL-2091,Evaluation,0.5,42000,2026-02-01,Jamie,SMB,Partner,81
DEAL-2092,Proposal,0.65,81000,2026-03-01,Jamie,Mid-Market,Inbound,87
DEAL-2093,Proposal,0.65,104000,2026-11-01,Morgan,Mid-Market,Inbound,63
DEAL-2094,Negotiation,0.8,82000,2026-11-01,Morgan,Mid-Market,Inbound,102
DEAL-2095,Evaluation,0.5,144000,2026-08-01,Taylor,Mid-Market,Outbound,99
DEAL-2096,Evaluation,0.5,112000,2026-10-01,Jamie,Mid-Market,Outbound,86
DEAL-2097,Evaluation,0.5,149000,2026-06-01,Avery,Mid-Market,Partner,80
DEAL-2098,Discovery,0.15,87000,2026-12-01,Riley,Mid-Market,Partner,91
DEAL-2099,Proposal,0.65,127000,2026-03-01,Riley,Mid-Market,Inbound,87
DEAL-2100,Negotiation,0.8,98000,2026-03-01,Riley,Mid-Market,Partner,78
DEAL-2101,Demo,0.3,115000,2026-10-01,Taylor,Mid-Market,Outbound,117
DEAL-2102,Discovery,0.15,102000,2026-12-01,Taylor,Mid-Market,Inbound,86
DEAL-2103,Negotiation,0.8,53000,2026-06-01,Jamie,SMB,Outbound,51
DEAL-2104,Demo,0.3,184000,2026-02-01,Morgan,Mid-Market,Outbound,57
DEAL-2105,Commit,0.92,42000,2026-08-01,Casey,SMB,Outbound,63
DEAL-2106,Negotiation,0.8,101000,2026-11-01,Jamie,Mid-Market,Outbound,86
DEAL-2107,Commit,0.92,30000,2026-06-01,Jordan,SMB,Event,71
DEAL-2108,Negotiation,0.8,148000,2026-03-01,Jamie,Mid-Market,Outbound,82
DEAL-2109,Demo,0.3,144000,2026-12-01,Avery,Mid-Market,Inbound,102
DEAL-2110,Evaluation,0.5,148000,2026-12-01,Jordan,Mid-Market,Outbound,46
DEAL-2111,Discovery,0.15,300000,2026-12-01,Avery,Enterprise,Outbound,127
DEAL-2112,Demo,0.3,247000,2026-12-01,Casey,Enterprise,Outbound,101
DEAL-2113,Evaluation,0.5,223000,2026-03-01,Morgan,Enterprise,Outbound,121
DEAL-2114,Discovery,0.15,109000,2026-05-01,Jamie,Mid-Market,Inbound,87
DEAL-2115,Evaluation,0.5,350000,2026-11-01,Jordan,Enterprise,Inbound,129
DEAL-2116,Evaluation,0.5,66000,2026-10-01,Jamie,Mid-Market,Inbound,82
DEAL-2117,Negotiation,0.8,121000,2026-04-01,Jamie,Mid-Market,Outbound,56
DEAL-2118,Demo,0.3,41000,2026-12-01,Taylor,SMB,Inbound,54
DEAL-2119,Demo,0.3,443000,2026-03-01,Morgan,Enterprise,Outbound,146
DEAL-2120,Discovery,0.15,93000,2026-12-01,Jordan,Mid-Market,Outbound,74
DEAL-2121,Negotiation,0.8,138000,2026-05-01,Jamie,Mid-Market,Inbound,81
DEAL-2122,Evaluation,0.5,38000,2026-02-01,Morgan,SMB,Outbound,45
DEAL-2123,Commit,0.92,129000,2026-02-01,Morgan,Mid-Market,Outbound,86
DEAL-2124,Evaluation,0.5,89000,2026-06-01,Casey,Mid-Market,Outbound,70
DEAL-2125,Proposal,0.65,26000,2026-09-01,Taylor,SMB,Outbound,64
DEAL-2126,Discovery,0.15,22000,2026-02-01,Morgan,SMB,Inbound,47
DEAL-2127,Demo,0.3,89000,2026-12-01,Morgan,Mid-Market,Outbound,95
DEAL-2128,Negotiation,0.8,26000,2026-12-01,Jamie,SMB,Inbound,25
DEAL-2129,Negotiation,0.8,137000,2026-07-01,Casey,Mid-Market,Inbound,64
DEAL-2130,Evaluation,0.5,108000,2026-03-01,Avery,Mid-Market,Outbound,76
DEAL-2131,Negotiation,0.8,43000,2026-06-01,Jamie,SMB,Outbound,57
DEAL-2132,Discovery,0.15,46000,2026-08-01,Casey,SMB,Outbound,53
DEAL-2133,Commit,0.92,26000,2026-10-01,Jamie,SMB,Inbound,35
DEAL-2134,Demo,0.3,81000,2026-05-01,Riley,Mid-Market,Inbound,100
DEAL-2135,Demo,0.3,46000,2026-01-01,Taylor,SMB,Outbound,12
DEAL-2136,Negotiation,0.8,22000,2026-07-01,Taylor,SMB,Outbound,70
DEAL-2137,Proposal,0.65,40000,2026-10-01,Morgan,SMB,Outbound,28
DEAL-2138,Discovery,0.15,88000,2026-06-01,Casey,Mid-Market,Partner,77
DEAL-2139,Negotiation,0.8,83000,2026-02-01,Taylor,Mid-Market,Event,111
DEAL-2140,Proposal,0.65,93000,2026-12-01,Taylor,Mid-Market,Inbound,84
DEAL-2141,Demo,0.3,30000,2026-04-01,Casey,SMB,Inbound,27
DEAL-2142,Evaluation,0.5,109000,2026-06-01,Jordan,Mid-Market,Inbound,60
DEAL-2143,Evaluation,0.5,95000,2026-02-01,Jamie,Mid-Market,Outbound,94
DEAL-2144,Discovery,0.15,134000,2026-09-01,Casey,Mid-Market,Outbound,87
DEAL-2145,Discovery,0.15,130000,2026-08-01,Riley,Mid-Market,Outbound,76
DEAL-2146,Negotiation,0.8,105000,2026-07-01,Riley,Mid-Market,Inbound,71
DEAL-2147,Demo,0.3,256000,2026-12-01,Taylor,Enterprise,Outbound,111
DEAL-2148,Negotiation,0.8,99000,2026-02-01,Jamie,Mid-Market,Outbound,75
DEAL-2149,Demo,0.3,94000,2026-10-01,Jamie,Mid-Market,Inbound,70
DEAL-2150,Demo,0.3,94000,2026-09-01,Morgan,Mid-Market,Outbound,83
DEAL-2151,Negotiation,0.8,490000,2026-12-01,Taylor,Enterprise,Inbound,128
DEAL-2152,Negotiation,0.8,91000,2026-10-01,Riley,Mid-Market,Outbound,87
DEAL-2153,Discovery,0.15,27000,2026-10-01,Jordan,SMB,Inbound,40
DEAL-2154,Discovery,0.15,29000,2026-06-01,Jordan,SMB,Outbound,58
DEAL-2155,Proposal,0.65,74000,2026-01-01,Casey,Mid-Market,Partner,79
DEAL-2156,Proposal,0.65,29000,2026-10-01,Avery,SMB,Outbound,38
DEAL-2157,Discovery,0.15,88000,2026-09-01,Jamie,Mid-Market,Outbound,74
DEAL-2158,Evaluation,0.5,94000,2026-03-01,Morgan,Mid-Market,Inbound,65
DEAL-2159,Demo,0.3,32000,2026-09-01,Riley,SMB,Partner,51
DEAL-2160,Demo,0.3,134000,2026-06-01,Avery,Mid-Market,Outbound,88
DEAL-2161,Evaluation,0.5,23000,2026-12-01,Taylor,SMB,Outbound,85
DEAL-2162,Demo,0.3,130000,2026-03-01,Casey,Mid-Market,Outbound,65
DEAL-2163,Commit,0.92,117000,2026-10-01,Taylor,Mid-Market,Outbound,92
DEAL-2164,Proposal,0.65,50000,2026-12-01,Taylor,SMB,Outbound,89
DEAL-2165,Negotiation,0.8,88000,2026-11-01,Casey,Mid-Market,Inbound,110
DEAL-2166,Negotiation,0.8,46000,2026-11-01,Morgan,SMB,Inbound,69
DEAL-2167,Evaluation,0.5,143000,2026-04-01,Jamie,Mid-Market,Outbound,111
DEAL-2168,Proposal,0.65,145000,2026-07-01,Avery,Mid-Market,Inbound,99
DEAL-2169,Negotiation,0.8,83000,2026-09-01,Taylor,Mid-Market,Outbound,87
DEAL-2170,Negotiation,0.8,138000,2026-12-01,Morgan,Mid-Market,Outbound,75
DEAL-2171,Proposal,0.65,24000,2026-12-01,Jamie,SMB,Inbound,69
DEAL-2172,Evaluation,0.5,49000,2026-04-01,Taylor,SMB,Inbound,59
DEAL-2173,Discovery,0.15,105000,2026-12-01,Morgan,Mid-Market,Outbound,86
DEAL-2174,Demo,0.3,140000,2026-11-01,Morgan,Mid-Market,Event,107
DEAL-2175,Demo,0.3,39000,2026-09-01,Morgan,SMB,Outbound,59
DEAL-2176,Discovery,0.15,53000,2026-03-01,Riley,SMB,Inbound,59
DEAL-2177,Evaluation,0.5,171000,2026-07-01,Jamie,Mid-Market,Event,86
DEAL-2178,Evaluation,0.5,115000,2026-12-01,Jamie,Mid-Market,Partner,77
DEAL-2179,Evaluation,0.5,31000,2026-04-01,Casey,SMB,Inbound,46
DEAL-2180,Evaluation,0.5,104000,2026-09-01,Jordan,Mid-Market,Partner,67
DEAL-2181,Discovery,0.15,131000,2026-06-01,Taylor,Mid-Market,Inbound,64
DEAL-2182,Evaluation,0.5,32000,2026-05-01,Morgan,SMB,Outbound,64
DEAL-2183,Negotiation,0.8,138000,2026-10-01,Morgan,Mid-Market,Inbound,79
DEAL-2184,Proposal,0.65,361000,2026-05-01,Jordan,Enterprise,Partner,89
DEAL-2185,Discovery,0.15,383000,2026-10-01,Jamie,Enterprise,Inbound,155
DEAL-2186,Demo,0.3,36000,2026-08-01,Riley,SMB,Inbound,63
DEAL-2187,Proposal,0.65,94000,2026-09-01,Riley,Mid-Market,Outbound,65
DEAL-2188,Negotiation,0.8,177000,2026-12-01,Morgan,Mid-Market,Outbound,88
DEAL-2189,Evaluation,0.5,384000,2026-07-01,Morgan,Enterprise,Inbound,144
DEAL-2190,Demo,0.3,38000,2026-05-01,Jordan,SMB,Inbound,53
DEAL-2191,Discovery,0.15,169000,2026-06-01,Casey,Mid-Market,Inbound,90
DEAL-2192,Negotiation,0.8,36000,2026-09-01,Morgan,SMB,Outbound,42
DEAL-2193,Discovery,0.15,97000,2026-03-01,Morgan,Mid-Market,Partner,93
DEAL-2194,Demo,0.3,114000,2026-05-01,Avery,Mid-Market,Partner,97
DEAL-2195,Evaluation,0.5,33000,2026-01-01,Jordan,SMB,Outbound,78
DEAL-2196,Evaluation,0.5,114000,2026-11-01,Casey,Mid-Market,Inbound,73
DEAL-2197,Commit,0.92,30000,2026-08-01,Riley,SMB,Inbound,39
DEAL-2198,Negotiation,0.8,35000,2026-06-01,Avery,SMB,Partner,46
DEAL-2199,Discovery,0.15,40000,2026-04-01,Taylor,SMB,Inbound,79
DEAL-2200,Proposal,0.65,28000,2026-06-01,Riley,SMB,Partner,85
DEAL-2201,Evaluation,0.5,176000,2026-04-01,Morgan,Mid-Market,Partner,76
DEAL-2202,Evaluation,0.5,37000,2026-01-01,Avery,SMB,Outbound,48
DEAL-2203,Discovery,0.15,124000,2026-12-01,Riley,Mid-Market,Outbound,108
DEAL-2204,Discovery,0.15,100000,2026-05-01,Jamie,Mid-Market,Inbound,117
DEAL-2205,Proposal,0.65,105000,2026-03-01,Taylor,Mid-Market,Outbound,103
DEAL-2206,Proposal,0.65,126000,2026-07-01,Jamie,Mid-Market,Event,93
DEAL-2207,Commit,0.92,25000,2026-12-01,Casey,SMB,Partner,69
DEAL-2208,Discovery,0.15,28000,2026-06-01,Morgan,SMB,Event,61
DEAL-2209,Discovery,0.15,107000,2026-05-01,Morgan,Mid-Market,Outbound,73
DEAL-2210,Demo,0.3,38000,2026-02-01,Avery,SMB,Partner,55
DEAL-2211,Proposal,0.65,262000,2026-12-01,Morgan,Enterprise,Partner,149
DEAL-2212,Evaluation,0.5,151000,2026-07-01,Casey,Mid-Market,Inbound,116
DEAL-2213,Discovery,0.15,38000,2026-02-01,Casey,SMB,Inbound,54
DEAL-2214,Demo,0.3,82000,2026-09-01,Jamie,Mid-Market,Outbound,83
DEAL-2215,Demo,0.3,521000,2026-03-01,Casey,Enterprise,Outbound,134
DEAL-2216,Demo,0.3,27000,2026-09-01,Jordan,SMB,Outbound,21
DEAL-2217,Evaluation,0.5,158000,2026-11-01,Jordan,Mid-Market,Outbound,94
DEAL-2218,Demo,0.3,275000,2026-12-01,Jordan,Enterprise,Inbound,138
DEAL-2219,Demo,0.3,270000,2026-08-01,Jordan,Enterprise,Inbound,131
DEAL-2220,Demo,0.3,166000,2026-01-01,Morgan,Mid-Market,Inbound,106
DEAL-2221,Commit,0.92,127000,2026-09-01,Riley,Mid-Market,Event,104
DEAL-2222,Negotiation,0.8,450000,2026-01-01,Casey,Enterprise,Outbound,131
DEAL-2223,Demo,0.3,41000,2026-05-01,Jamie,SMB,Partner,36
DEAL-2224,Proposal,0.65,40000,2026-11-01,Morgan,SMB,Inbound,44
DEAL-2225,Discovery,0.15,36000,2026-12-01,Riley,SMB,Partner,25
DEAL-2226,Negotiation,0.8,247000,2026-01-01,Casey,Enterprise,Partner,102
DEAL-2227,Commit,0.92,355000,2026-07-01,Riley,Enterprise,Inbound,128
DEAL-2228,Discovery,0.15,251000,2026-11-01,Jamie,Enterprise,Partner,127
DEAL-2229,Proposal,0.65,141000,2026-12-01,Riley,Mid-Market,Partner,90
DEAL-2230,Commit,0.92,23000,2026-12-01,Jordan,SMB,Inbound,40
DEAL-2231,Demo,0.3,77000,2026-02-01,Taylor,Mid-Market,Outbound,54
DEAL-2232,Evaluation,0.5,358000,2026-07-01,Jordan,Enterprise,Inbound,103
DEAL-2233,Discovery,0.15,121000,2026-12-01,Casey,Mid-Market,Outbound,94
DEAL-2234,Discovery,0.15,372000,2026-09-01,Riley,Enterprise,Partner,135
DEAL-2235,Demo,0.3,340000,2026-02-01,Riley,Enterprise,Event,133
DEAL-2236,Commit,0.92,52000,2026-12-01,Taylor,SMB,Inbound,53
DEAL-2237,Discovery,0.15,94000,2026-06-01,Morgan,Mid-Market,Outbound,76
DEAL-2238,Demo,0.3,22000,2026-11-01,Taylor,SMB,Outbound,78
DEAL-2239,Evaluation,0.5,85000,2026-11-01,Casey,Mid-Market,Partner,98
DEAL-2240,Demo,0.3,42000,2026-06-01,Avery,SMB,Inbound,47
DEAL-2241,Evaluation,0.5,35000,2026-01-01,Taylor,SMB,Outbound,64
DEAL-2242,Proposal,0.65,80000,2026-09-01,Jordan,Mid-Market,Outbound,96
DEAL-2243,Evaluation,0.5,95000,2026-06-01,Riley,Mid-Market,Outbound,81
DEAL-2244,Evaluation,0.5,25000,2026-01-01,Taylor,SMB,Inbound,30
DEAL-2245,Demo,0.3,36000,2026-09-01,Morgan,SMB,Outbound,49
DEAL-2246,Negotiation,0.8,40000,2026-02-01,Casey,SMB,Event,55
DEAL-2247,Proposal,0.65,40000,2026-06-01,Taylor,SMB,Outbound,77
DEAL-2248,Commit,0.92,429000,2026-12-01,Taylor,Enterprise,Inbound,116
DEAL-2249,Demo,0.3,24000,2026-02-01,Riley,SMB,Inbound,55
DEAL-2250,Commit,0.92,88000,2026-08-01,Taylor,Mid-Market,Inbound,88
DEAL-2251,Negotiation,0.8,104000,2026-10-01,Taylor,Mid-Market,Outbound,91
DEAL-2252,Demo,0.3,123000,2026-09-01,Taylor,Mid-Market,Outbound,67
DEAL-2253,Negotiation,0.8,44000,2026-04-01,Jordan,SMB,Outbound,57
DEAL-2254,Evaluation,0.5,83000,2026-04-01,Taylor,Mid-Market,Partner,58
DEAL-2255,Evaluation,0.5,536000,2026-09-01,Avery,Enterprise,Event,108
DEAL-2256,Discovery,0.15,47000,2026-09-01,Casey,SMB,Outbound,55
DEAL-2257,Negotiation,0.8,23000,2026-01-01,Jordan,SMB,Partner,26
DEAL-2258,Discovery,0.15,39000,2026-04-01,Avery,SMB,Outbound,65
DEAL-2259,Demo,0.3,86000,2026-02-01,Taylor,Mid-Market,Inbound,111
DEAL-2260,Evaluation,0.5,272000,2026-04-01,Riley,Enterprise,Partner,147
DEAL-2261,Negotiation,0.8,35000,2026-05-01,Jamie,SMB,Partner,68
DEAL-2262,Commit,0.92,53000,2026-09-01,Riley,SMB,Partner,66
DEAL-2263,Demo,0.3,42000,2026-12-01,Avery,SMB,Inbound,70
DEAL-2264,Negotiation,0.8,55000,2026-07-01,Jordan,SMB,Inbound,59
DEAL-2265,Negotiation,0.8,20000,2026-04-01,Morgan,SMB,Outbound,58
DEAL-2266,Evaluation,0.5,252000,2026-03-01,Jordan,Enterprise,Outbound,144
DEAL-2267,Demo,0.3,298000,2026-10-01,Taylor,Enterprise,Outbound,112
DEAL-2268,Demo,0.3,145000,2026-10-01,Avery,Mid-Market,Outbound,79
DEAL-2269,Evaluation,0.5,90000,2026-11-01,Morgan,Mid-Market,Inbound,67
DEAL-2270,Demo,0.3,23000,2026-07-01,Taylor,SMB,Outbound,30
DEAL-2271,Proposal,0.65,42000,2026-01-01,Taylor,SMB,Partner,40
DEAL-2272,Negotiation,0.8,25000,2026-02-01,Taylor,SMB,Inbound,74
DEAL-2273,Demo,0.3,28000,2026-08-01,Riley,SMB,Event,71
DEAL-2274,Negotiation,0.8,88000,2026-06-01,Riley,Mid-Market,Partner,83
DEAL-2275,Discovery,0.15,88000,2026-03-01,Jamie,Mid-Market,Inbound,91
DEAL-2276,Commit,0.92,360000,2026-09-01,Taylor,Enterprise,Inbound,102
DEAL-2277,Negotiation,0.8,94000,2026-12-01,Casey,Mid-Market,Inbound,100
DEAL-2278,Commit,0.92,109000,2026-10-01,Casey,Mid-Market,Outbound,76
DEAL-2279,Evaluation,0.5,42000,2026-09-01,Casey,SMB,Event,48
DEAL-2280,Negotiation,0.8,25000,2026-12-01,Jamie,SMB,Inbound,72
DEAL-2281,Discovery,0.15,457000,2026-04-01,Casey,Enterprise,Event,131
DEAL-2282,Negotiation,0.8,429000,2026-07-01,Casey,Enterprise,Outbound,138
DEAL-2283,Commit,0.92,25000,2026-12-01,Taylor,SMB,Inbound,57
DEAL-2284,Evaluation,0.5,137000,2026-01-01,Jordan,Mid-Market,Partner,108
DEAL-2285,Demo,0.3,31000,2026-03-01,Morgan,SMB,Partner,42
DEAL-2286,Negotiation,0.8,28000,2026-11-01,Casey,SMB,Inbound,56
DEAL-2287,Evaluation,0.5,44000,2026-06-01,Jordan,SMB,Event,61
DEAL-2288,Negotiation,0.8,38000,2026-05-01,Taylor,SMB,Partner,46
DEAL-2289,Evaluation,0.5,33000,2026-12-01,Casey,SMB,Partner,44
DEAL-2290,Negotiation,0.8,283000,2026-09-01,Casey,Enterprise,Partner,143
DEAL-2291,Negotiation,0.8,30000,2026-12-01,Jamie,SMB,Outbound,51
DEAL-2292,Proposal,0.65,25000,2026-06-01,Morgan,SMB,Inbound,37
DEAL-2293,Commit,0.92,143000,2026-01-01,Jordan,Mid-Market,Event,65
DEAL-2294,Evaluation,0.5,23000,2026-08-01,Riley,SMB,Event,60
DEAL-2295,Proposal,0.65,120000,2026-07-01,Riley,Mid-Market,Inbound,85
DEAL-2296,Discovery,0.15,29000,2026-09-01,Taylor,SMB,Outbound,67
DEAL-2297,Negotiation,0.8,166000,2026-06-01,Taylor,Mid-Market,Outbound,104
DEAL-2298,Discovery,0.15,228000,2026-07-01,Avery,Enterprise,Outbound,127
DEAL-2299,Commit,0.92,81000,2026-02-01,Taylor,Mid-Market,Inbound,113
DEAL-2300,Proposal,0.65,92000,2026-09-01,Morgan,Mid-Market,Outbound,75
DEAL-2301,Commit,0.92,303000,2026-02-01,Avery,Enterprise,Inbound,143
DEAL-2302,Commit,0.92,46000,2026-09-01,Jordan,SMB,Partner,49
DEAL-2303,Proposal,0.65,88000,2026-03-01,Casey,Mid-Market,Inbound,97
DEAL-2304,Proposal,0.65,40000,2026-12-01,Jamie,SMB,Partner,61
DEAL-2305,Negotiation,0.8,391000,2026-11-01,Jordan,Enterprise,Inbound,111
DEAL-2306,Negotiation,0.8,138000,2026-12-01,Jamie,Mid-Market,Outbound,86
DEAL-2307,Evaluation,0.5,32000,2026-07-01,Riley,SMB,Event,54
DEAL-2308,Commit,0.92,162000,2026-06-01,Morgan,Mid-Market,Inbound,69
DEAL-2309,Evaluation,0.5,56000,2026-07-01,Taylor,SMB,Inbound,46
DEAL-2310,Discovery,0.15,30000,2026-08-01,Riley,SMB,Outbound,62
DEAL-2311,Negotiation,0.8,151000,2026-09-01,Casey,Mid-Market,Outbound,84
DEAL-2312,Evaluation,0.5,336000,2026-09-01,Jamie,Enterprise,Partner,111
DEAL-2313,Evaluation,0.5,31000,2026-07-01,Jordan,SMB,Inbound,55
DEAL-2314,Discovery,0.15,35000,2026-02-01,Avery,SMB,Inbound,68
