month,customer_id,plan_tier,acquisition_channel,sales_rep,mrr,status,cohort_month,prior_mrr,mrr_movement
2024-01,CUST-1062,Mid-Market,Event,Riley,11400,new,2024-01,0,11400
2024-01,CUST-1063,SMB,Outbound,Jamie,2800,new,2024-01,0,2800
2024-01,CUST-1064,SMB,Event,Avery,2300,new,2024-01,0,2300
2024-01,CUST-1065,Mid-Market,Partner,Riley,12100,new,2024-01,0,12100
2024-01,CUST-1066,Mid-Market,Inbound,Jordan,11300,new,2024-01,0,11300
2024-01,CUST-1067,SMB,Outbound,Avery,2600,new,2024-01,0,2600
2024-01,CUST-1068,SMB,Partner,Taylor,2500,new,2024-01,0,2500
2024-01,CUST-1069,SMB,Inbound,Avery,3300,new,2024-01,0,3300
2024-01,CUST-1070,SMB,Partner,Jordan,2300,new,2024-01,0,2300
2024-01,CUST-1071,SMB,Inbound,Avery,2100,new,2024-01,0,2100
2024-01,CUST-1072,Mid-Market,Outbound,Jordan,12300,new,2024-01,0,12300
2024-01,CUST-1073,SMB,Outbound,Jordan,2000,new,2024-01,0,2000
2024-01,CUST-1074,Mid-Market,Partner,Riley,6500,new,2024-01,0,6500
2024-01,CUST-1075,SMB,Partner,Avery,2100,new,2024-01,0,2100
2024-01,CUST-1076,Mid-Market,Event,Morgan,7700,new,2024-01,0,7700
2024-01,CUST-1077,SMB,Outbound,Jordan,3700,new,2024-01,0,3700
2024-01,CUST-1078,SMB,Inbound,Casey,2100,new,2024-01,0,2100
2024-01,CUST-1079,Mid-Market,Event,Riley,8800,new,2024-01,0,8800
2024-01,CUST-1080,SMB,Partner,Casey,2700,new,2024-01,0,2700
2024-01,CUST-1081,SMB,Event,Riley,2900,new,2024-01,0,2900
2024-01,CUST-1082,Mid-Market,Inbound,Taylor,8400,new,2024-01,0,8400
2024-01,CUST-1083,Enterprise,Outbound,Jamie,28300,new,2024-01,0,28300
2024-01,CUST-1084,Mid-Market,Outbound,Riley,8500,new,2024-01,0,8500
2024-01,CUST-1085,Mid-Market,Inbound,Avery,10100,new,2024-01,0,10100
2024-01,CUST-1086,Strategic,Inbound,Casey,80700,new,2024-01,0,80700
2024-01,CUST-1087,Mid-Market,Event,Casey,9500,new,2024-01,0,9500
2024-01,CUST-1088,SMB,Inbound,Riley,2600,new,2024-01,0,2600
2024-01,CUST-1089,SMB,Event,Avery,2000,new,2024-01,0,2000
2024-01,CUST-1090,Mid-Market,Inbound,Jordan,12100,new,2024-01,0,12100
2024-01,CUST-1091,Enterprise,Outbound,Avery,32300,new,2024-01,0,32300
2024-01,CUST-1092,Mid-Market,Inbound,Casey,10900,new,2024-01,0,10900
2024-01,CUST-1093,SMB,Outbound,Jordan,2000,new,2024-01,0,2000
2024-01,CUST-1094,SMB,Partner,Taylor,2000,new,2024-01,0,2000
2024-01,CUST-1095,Mid-Market,Outbound,Jamie,6900,new,2024-01,0,6900
2024-01,CUST-1096,SMB,Inbound,Avery,2700,new,2024-01,0,2700
2024-01,CUST-1097,SMB,Inbound,Jamie,3200,new,2024-01,0,3200
2024-01,CUST-1098,Mid-Market,Inbound,Morgan,10400,new,2024-01,0,10400
2024-01,CUST-1099,Mid-Market,Outbound,Avery,6900,new,2024-01,0,6900
2024-01,CUST-1100,SMB,Outbound,Jamie,2600,new,2024-01,0,2600
2024-01,CUST-1101,Mid-Market,Inbound,Taylor,9800,new,2024-01,0,9800
2024-01,CUST-1102,SMB,Inbound,Taylor,2900,new,2024-01,0,2900
2024-01,CUST-1103,SMB,Outbound,Taylor,2200,new,2024-01,0,2200
2024-01,CUST-1104,Mid-Market,Outbound,Casey,10100,new,2024-01,0,10100
2024-01,CUST-1105,SMB,Outbound,Riley,1800,new,2024-01,0,1800
2024-01,CUST-1106,Mid-Market,Inbound,Casey,11000,new,2024-01,0,11000
2024-01,CUST-1107,Enterprise,Outbound,Casey,32000,new,2024-01,0,32000
2024-01,CUST-1108,SMB,Inbound,Jamie,2200,new,2024-01,0,2200
2024-01,CUST-1109,Mid-Market,Outbound,Jordan,10600,new,2024-01,0,10600
2024-01,CUST-1110,SMB,Outbound,Taylor,3000,new,2024-01,0,3000
2024-01,CUST-1111,SMB,Inbound,Taylor,3700,new,2024-01,0,3700
2024-01,CUST-1112,Mid-Market,Partner,Taylor,7300,new,2024-01,0,7300
2024-01,CUST-1113,SMB,Outbound,Riley,2700,new,2024-01,0,2700
2024-01,CUST-1114,Strategic,Event,Taylor,90300,new,2024-01,0,90300
2024-01,CUST-1115,Enterprise,Inbound,Casey,28900,new,2024-01,0,28900
2024-01,CUST-1116,SMB,Event,Morgan,2700,new,2024-01,0,2700
2024-01,CUST-1117,SMB,Inbound,Avery,3300,new,2024-01,0,3300
2024-01,CUST-1118,Mid-Market,Inbound,Taylor,8700,new,2024-01,0,8700
2024-01,CUST-1119,Enterprise,Partner,Taylor,39900,new,2024-01,0,39900
2024-01,CUST-1120,SMB,Inbound,Avery,3100,new,2024-01,0,3100
2024-01,CUST-1121,Mid-Market,Inbound,Avery,8400,new,2024-01,0,8400
2024-01,CUST-1122,Enterprise,Partner,Casey,29900,new,2024-01,0,29900
2024-01,CUST-1123,SMB,Partner,Taylor,2500,new,2024-01,0,2500
2024-01,CUST-1124,Enterprise,Inbound,Taylor,30800,new,2024-01,0,30800
2024-01,CUST-1125,Mid-Market,Event,Riley,8200,new,2024-01,0,8200
2024-01,CUST-1126,Enterprise,Event,Avery,26100,new,2024-01,0,26100
2024-01,CUST-1127,SMB,Partner,Jamie,2100,new,2024-01,0,2100
2024-01,CUST-1128,Mid-Market,Inbound,Morgan,10300,new,2024-01,0,10300
2024-01,CUST-1129,Enterprise,Partner,Jordan,42200,new,2024-01,0,42200
2024-01,CUST-1130,Mid-Market,Inbound,Jordan,7100,new,2024-01,0,7100
2024-01,CUST-1131,Enterprise,Outbound,Jamie,25900,new,2024-01,0,25900
2024-01,CUST-1132,Mid-Market,Event,Taylor,11400,new,2024-01,0,11400
2024-01,CUST-1133,SMB,Inbound,Riley,3000,new,2024-01,0,3000
2024-01,CUST-1134,SMB,Outbound,Morgan,3400,new,2024-01,0,3400
2024-01,CUST-1135,Mid-Market,Inbound,Casey,6200,new,2024-01,0,6200
2024-01,CUST-1136,Strategic,Outbound,Riley,104900,new,2024-01,0,104900
2024-01,CUST-1137,SMB,Inbound,Jamie,3300,new,2024-01,0,3300
2024-01,CUST-1138,Enterprise,Inbound,Jordan,41200,new,2024-01,0,41200
2024-01,CUST-1139,Mid-Market,Event,Jordan,10500,new,2024-01,0,10500
2024-01,CUST-1140,Enterprise,Inbound,Avery,27200,new,2024-01,0,27200
2024-01,CUST-1141,Mid-Market,Inbound,Riley,8100,new,2024-01,0,8100
2024-01,CUST-1142,SMB,Partner,Avery,2600,new,2024-01,0,2600
2024-01,CUST-1143,SMB,Inbound,Jordan,2300,new,2024-01,0,2300
2024-01,CUST-1144,SMB,Partner,Jordan,3000,new,2024-01,0,3000
2024-01,CUST-1145,Mid-Market,Event,Jamie,11400,new,2024-01,0,11400
2024-01,CUST-1146,Enterprise,Partner,Morgan,30900,new,2024-01,0,30900
2024-01,CUST-1147,SMB,Outbound,Jordan,2000,new,2024-01,0,2000
2024-01,CUST-1148,Mid-Market,Inbound,Casey,7800,new,2024-01,0,7800
2024-01,CUST-1149,SMB,Partner,Avery,2600,new,2024-01,0,2600
2024-01,CUST-1150,Mid-Market,Outbound,Jordan,10100,new,2024-01,0,10100
2024-01,CUST-1151,Mid-Market,Outbound,Taylor,9100,new,2024-01,0,9100
2024-01,CUST-1152,SMB,Inbound,Jordan,2100,new,2024-01,0,2100
2024-01,CUST-1153,Mid-Market,Partner,Jordan,8700,new,2024-01,0,8700
2024-01,CUST-1154,SMB,Outbound,Jamie,3300,new,2024-01,0,3300
2024-01,CUST-1155,Mid-Market,Partner,Jordan,7700,new,2024-01,0,7700
2024-01,CUST-1156,SMB,Partner,Casey,3400,new,2024-01,0,3400
2024-01,CUST-1157,SMB,Event,Taylor,2400,new,2024-01,0,2400
2024-01,CUST-1158,Enterprise,Outbound,Jordan,56100,new,2024-01,0,56100
2024-01,CUST-1159,Mid-Market,Outbound,Taylor,8600,new,2024-01,0,8600
2024-01,CUST-1160,SMB,Inbound,Jordan,2300,new,2024-01,0,2300
2024-01,CUST-1161,Mid-Market,Event,Jamie,9700,new,2024-01,0,9700
2024-01,CUST-1162,Strategic,Outbound,Riley,96300,new,2024-01,0,96300
2024-01,CUST-1163,SMB,Outbound,Taylor,1900,new,2024-01,0,1900
2024-01,CUST-1164,SMB,Outbound,Avery,2600,new,2024-01,0,2600
2024-01,CUST-1165,SMB,Inbound,Jordan,2200,new,2024-01,0,2200
2024-01,CUST-1166,Mid-Market,Inbound,Casey,8600,new,2024-01,0,8600
2024-01,CUST-1167,SMB,Partner,Taylor,3200,new,2024-01,0,3200
2024-01,CUST-1168,Enterprise,Outbound,Avery,31500,new,2024-01,0,31500
2024-01,CUST-1169,Strategic,Outbound,Morgan,92200,new,2024-01,0,92200
2024-01,CUST-1170,SMB,Inbound,Riley,2200,new,2024-01,0,2200
2024-01,CUST-1171,Mid-Market,Inbound,Avery,6900,new,2024-01,0,6900
2024-01,CUST-1172,Mid-Market,Outbound,Taylor,9200,new,2024-01,0,9200
2024-01,CUST-1173,Mid-Market,Inbound,Jordan,9100,new,2024-01,0,9100
2024-01,CUST-1174,Enterprise,Outbound,Jamie,44200,new,2024-01,0,44200
2024-01,CUST-1175,SMB,Inbound,Avery,2900,new,2024-01,0,2900
2024-01,CUST-1176,Strategic,Event,Jordan,87600,new,2024-01,0,87600
2024-01,CUST-1177,SMB,Inbound,Morgan,3300,new,2024-01,0,3300
2024-01,CUST-1178,Mid-Market,Partner,Jamie,11400,new,2024-01,0,11400
2024-01,CUST-1179,Mid-Market,Partner,Taylor,6000,new,2024-01,0,6000
2024-01,CUST-1180,SMB,Inbound,Jordan,3300,new,2024-01,0,3300
2024-01,CUST-1181,Mid-Market,Outbound,Avery,8000,new,2024-01,0,8000
2024-01,CUST-1182,SMB,Inbound,Casey,1900,new,2024-01,0,1900
2024-01,CUST-1183,Mid-Market,Partner,Taylor,9800,new,2024-01,0,9800
2024-01,CUST-1184,Mid-Market,Event,Riley,6300,new,2024-01,0,6300
2024-01,CUST-1185,Enterprise,Outbound,Casey,46800,new,2024-01,0,46800
2024-01,CUST-1186,Mid-Market,Outbound,Casey,7000,new,2024-01,0,7000
2024-01,CUST-1187,Enterprise,Inbound,Jamie,34200,new,2024-01,0,34200
2024-01,CUST-1188,SMB,Inbound,Morgan,2400,new,2024-01,0,2400
2024-01,CUST-1189,Mid-Market,Inbound,Riley,10900,new,2024-01,0,10900
2024-01,CUST-1190,Strategic,Outbound,Casey,87000,new,2024-01,0,87000
2024-01,CUST-1191,SMB,Partner,Jamie,2300,new,2024-01,0,2300
2024-01,CUST-1192,SMB,Partner,Avery,2600,new,2024-01,0,2600
2024-01,CUST-1193,Mid-Market,Outbound,Morgan,9400,new,2024-01,0,9400
2024-01,CUST-1194,SMB,Inbound,Jordan,2800,new,2024-01,0,2800
2024-01,CUST-1195,SMB,Inbound,Riley,3100,new,2024-01,0,3100
2024-01,CUST-1196,Mid-Market,Outbound,Taylor,8600,new,2024-01,0,8600
2024-01,CUST-1197,SMB,Outbound,Jordan,2200,new,2024-01,0,2200
2024-01,CUST-1198,Mid-Market,Inbound,Avery,9500,new,2024-01,0,9500
2024-01,CUST-1199,SMB,Inbound,Jordan,2200,new,2024-01,0,2200
2024-01,CUST-1200,SMB,Inbound,Jordan,3200,new,2024-01,0,3200
2024-01,CUST-1201,Mid-Market,Outbound,Jordan,9100,new,2024-01,0,9100
2024-01,CUST-1202,SMB,Outbound,Taylor,2700,new,2024-01,0,2700
2024-01,CUST-1203,SMB,Partner,Jordan,2900,new,2024-01,0,2900
2024-01,CUST-1204,Mid-Market,Inbound,Taylor,10900,new,2024-01,0,10900
2024-01,CUST-1205,Strategic,Inbound,Casey,116700,new,2024-01,0,116700
2024-01,CUST-1206,SMB,Partner,Riley,2200,new,2024-01,0,2200
2024-01,CUST-1207,SMB,Inbound,Riley,1700,new,2024-01,0,1700
2024-01,CUST-1208,SMB,Outbound,Casey,2100,new,2024-01,0,2100
2024-01,CUST-1209,Mid-Market,Inbound,Jordan,7700,new,2024-01,0,7700
2024-01,CUST-1210,Mid-Market,Inbound,Jamie,10500,new,2024-01,0,10500
2024-01,CUST-1211,SMB,Outbound,Avery,2300,new,2024-01,0,2300
2024-01,CUST-1212,Mid-Market,Outbound,Casey,8000,new,2024-01,0,8000
2024-01,CUST-1213,Mid-Market,Inbound,Jamie,9700,new,2024-01,0,9700
2024-01,CUST-1214,Mid-Market,Partner,Jamie,10000,new,2024-01,0,10000
2024-01,CUST-1215,Mid-Market,Inbound,Casey,6000,new,2024-01,0,6000
2024-01,CUST-1216,Mid-Market,Outbound,Jordan,9400,new,2024-01,0,9400
2024-01,CUST-1217,Mid-Market,Inbound,Morgan,12700,new,2024-01,0,12700
2024-01,CUST-1218,Mid-Market,Inbound,Jordan,10100,new,2024-01,0,10100
2024-01,CUST-1219,Strategic,Outbound,Casey,76200,new,2024-01,0,76200
2024-01,CUST-1220,SMB,Event,Casey,2500,new,2024-01,0,2500
2024-01,CUST-1221,Strategic,Inbound,Casey,73500,new,2024-01,0,73500
2024-01,CUST-1222,Enterprise,Inbound,Avery,28100,new,2024-01,0,28100
2024-01,CUST-1223,Enterprise,Outbound,Riley,49600,new,2024-01,0,49600
2024-01,CUST-1224,Mid-Market,Outbound,Avery,7700,new,2024-01,0,7700
2024-01,CUST-1225,SMB,Partner,Morgan,3500,new,2024-01,0,3500
2024-01,CUST-1226,SMB,Inbound,Jordan,2000,new,2024-01,0,2000
2024-01,CUST-1227,Enterprise,Inbound,Taylor,23400,new,2024-01,0,23400
2024-01,CUST-1228,SMB,Outbound,Jamie,2700,new,2024-01,0,2700
2024-01,CUST-1229,Mid-Market,Outbound,Jamie,8800,new,2024-01,0,8800
2024-01,CUST-1230,Mid-Market,Outbound,Casey,7900,new,2024-01,0,7900
2024-01,CUST-1231,Strategic,Partner,Avery,77500,new,2024-01,0,77500
2024-01,CUST-1232,Mid-Market,Outbound,Casey,9400,new,2024-01,0,9400
2024-01,CUST-1233,SMB,Outbound,Morgan,2200,new,2024-01,0,2200
2024-01,CUST-1234,Strategic,Outbound,Jamie,105400,new,2024-01,0,105400
2024-02,CUST-1000,SMB,Inbound,Riley,1900,active,2024-01,1900,0
2024-02,CUST-1001,SMB,Outbound,Jamie,3200,active,2024-01,3200,0
2024-02,CUST-1002,SMB,Outbound,Taylor,2400,active,2024-01,2400,0
2024-02,CUST-1003,Mid-Market,Inbound,Casey,8300,active,2024-01,8300,0
2024-02,CUST-1004,SMB,Outbound,Riley,2100,active,2024-01,2100,0
2024-02,CUST-1005,Mid-Market,Outbound,Riley,8100,expanded,2024-01,7600,500
2024-02,CUST-1006,SMB,Event,Avery,3100,active,2024-01,3100,0
2024-02,CUST-1007,SMB,Partner,Casey,2500,active,2024-01,2500,0
2024-02,CUST-1008,SMB,Outbound,Morgan,1800,active,2024-01,1800,0
2024-02,CUST-1009,SMB,Partner,Jordan,3600,active,2024-01,3600,0
2024-02,CUST-1010,Mid-Market,Partner,Jamie,7700,active,2024-01,7700,0
2024-02,CUST-1011,Mid-Market,Outbound,Taylor,11400,active,2024-01,11400,0
2024-02,CUST-1012,SMB,Partner,Casey,2700,active,2024-01,2700,0
2024-02,CUST-1013,Mid-Market,Inbound,Taylor,8000,active,2024-01,8000,0
2024-02,CUST-1014,Mid-Market,Outbound,Jamie,9700,active,2024-01,9700,0
2024-02,CUST-1015,Enterprise,Inbound,Jordan,37800,active,2024-01,37800,0
2024-02,CUST-1016,Mid-Market,Inbound,Riley,8800,active,2024-01,8800,0
2024-02,CUST-1017,Mid-Market,Inbound,Casey,8600,active,2024-01,8600,0
2024-02,CUST-1018,SMB,Event,Taylor,2300,active,2024-01,2300,0
2024-02,CUST-1019,Enterprise,Partner,Avery,36200,active,2024-01,36200,0
2024-02,CUST-1020,SMB,Inbound,Morgan,2600,active,2024-01,2600,0
2024-02,CUST-1021,SMB,Outbound,Jamie,2900,active,2024-01,2900,0
2024-02,CUST-1022,SMB,Outbound,Jordan,2500,active,2024-01,2500,0
2024-02,CUST-1023,SMB,Inbound,Jordan,2500,active,2024-01,2500,0
2024-02,CUST-1024,Mid-Market,Event,Taylor,12800,active,2024-01,12800,0
2024-02,CUST-1025,SMB,Outbound,Morgan,2200,active,2024-01,2200,0
2024-02,CUST-1026,SMB,Partner,Jamie,0,churned,2024-01,2100,-2100
2024-02,CUST-1027,SMB,Event,Jamie,2000,active,2024-01,2000,0
2024-02,CUST-1028,SMB,Inbound,Casey,2200,active,2024-01,2200,0
2024-02,CUST-1029,Strategic,Inbound,Avery,82700,active,2024-01,82700,0
2024-02,CUST-1030,Mid-Market,Inbound,Riley,7700,active,2024-01,7700,0
2024-02,CUST-1031,SMB,Inbound,Morgan,2400,active,2024-01,2400,0
2024-02,CUST-1032,SMB,Inbound,Casey,1700,active,2024-01,1700,0
2024-02,CUST-1033,Enterprise,Outbound,Casey,36700,active,2024-01,36700,0
2024-02,CUST-1034,Mid-Market,Inbound,Casey,6700,active,2024-01,6700,0
2024-02,CUST-1035,SMB,Outbound,Morgan,1900,active,2024-01,1900,0
2024-02,CUST-1036,Mid-Market,Outbound,Casey,0,churned,2024-01,8400,-8400
2024-02,CUST-1037,SMB,Event,Jamie,3200,active,2024-01,3200,0
2024-02,CUST-1038,SMB,Inbound,Casey,2900,active,2024-01,2900,0
2024-02,CUST-1039,SMB,Inbound,Jordan,2400,expanded,2024-01,2200,200
2024-02,CUST-1040,SMB,Inbound,Morgan,2600,active,2024-01,2600,0
2024-02,CUST-1041,SMB,Inbound,Taylor,1700,active,2024-01,1700,0
2024-02,CUST-1042,SMB,Outbound,Avery,3300,active,2024-01,3300,0
2024-02,CUST-1043,Mid-Market,Inbound,Jordan,6800,active,2024-01,6800,0
2024-02,CUST-1044,SMB,Partner,Avery,1800,active,2024-01,1800,0
2024-02,CUST-1045,Strategic,Partner,Jordan,100200,active,2024-01,100200,0
2024-02,CUST-1046,Strategic,Inbound,Casey,81400,active,2024-01,81400,0
2024-02,CUST-1047,Mid-Market,Partner,Jordan,8000,active,2024-01,8000,0
2024-02,CUST-1048,SMB,Inbound,Casey,3100,active,2024-01,3100,0
2024-02,CUST-1049,Mid-Market,Inbound,Jamie,8200,active,2024-01,8200,0
2024-02,CUST-1050,Mid-Market,Outbound,Jamie,9200,active,2024-01,9200,0
2024-02,CUST-1051,SMB,Inbound,Casey,2600,active,2024-01,2600,0
2024-02,CUST-1052,Enterprise,Outbound,Taylor,23500,active,2024-01,23500,0
2024-02,CUST-1053,Enterprise,Inbound,Jordan,31000,active,2024-01,31000,0
2024-02,CUST-1054,Mid-Market,Partner,Morgan,8700,active,2024-01,8700,0
2024-02,CUST-1055,Mid-Market,Inbound,Avery,8200,active,2024-01,8200,0
2024-02,CUST-1056,SMB,Partner,Jamie,3100,active,2024-01,3100,0
2024-02,CUST-1057,Enterprise,Partner,Jamie,31500,active,2024-01,31500,0
2024-02,CUST-1058,Mid-Market,Outbound,Jordan,8800,active,2024-01,8800,0
2024-02,CUST-1059,Mid-Market,Inbound,Casey,7100,active,2024-01,7100,0
2024-02,CUST-1060,SMB,Outbound,Morgan,2300,active,2024-01,2300,0
2024-02,CUST-1061,SMB,Inbound,Casey,1800,contracted,2024-01,2000,-200
2024-02,CUST-1062,Mid-Market,Event,Riley,11400,active,2024-01,11400,0
2024-02,CUST-1063,SMB,Outbound,Jamie,2800,active,2024-01,2800,0
2024-02,CUST-1064,SMB,Event,Avery,0,churned,2024-01,2300,-2300
2024-02,CUST-1065,Mid-Market,Partner,Riley,12100,active,2024-01,12100,0
2024-02,CUST-1066,Mid-Market,Inbound,Jordan,12700,expanded,2024-01,11300,1400
2024-02,CUST-1067,SMB,Outbound,Avery,2600,active,2024-01,2600,0
2024-02,CUST-1068,SMB,Partner,Taylor,2500,active,2024-01,2500,0
2024-02,CUST-1069,SMB,Inbound,Avery,3300,active,2024-01,3300,0
2024-02,CUST-1070,SMB,Partner,Jordan,2300,active,2024-01,2300,0
2024-02,CUST-1071,SMB,Inbound,Avery,2100,active,2024-01,2100,0
2024-02,CUST-1072,Mid-Market,Outbound,Jordan,12300,active,2024-01,12300,0
2024-02,CUST-1073,SMB,Outbound,Jordan,2000,active,2024-01,2000,0
2024-02,CUST-1074,Mid-Market,Partner,Riley,6500,active,2024-01,6500,0
2024-02,CUST-1075,SMB,Partner,Avery,2100,active,2024-01,2100,0
2024-02,CUST-1076,Mid-Market,Event,Morgan,7700,active,2024-01,7700,0
2024-02,CUST-1077,SMB,Outbound,Jordan,3700,active,2024-01,3700,0
2024-02,CUST-1078,SMB,Inbound,Casey,2100,active,2024-01,2100,0
2024-02,CUST-1079,Mid-Market,Event,Riley,8800,active,2024-01,8800,0
2024-02,CUST-1080,SMB,Partner,Casey,2700,active,2024-01,2700,0
2024-02,CUST-1081,SMB,Event,Riley,2900,active,2024-01,2900,0
2024-02,CUST-1082,Mid-Market,Inbound,Taylor,8400,active,2024-01,8400,0
2024-02,CUST-1083,Enterprise,Outbound,Jamie,28300,active,2024-01,28300,0
2024-02,CUST-1084,Mid-Market,Outbound,Riley,8500,active,2024-01,8500,0
2024-02,CUST-1085,Mid-Market,Inbound,Avery,10100,active,2024-01,10100,0
2024-02,CUST-1086,Strategic,Inbound,Casey,80700,active,2024-01,80700,0
2024-02,CUST-1087,Mid-Market,Event,Casey,9500,active,2024-01,9500,0
2024-02,CUST-1088,SMB,Inbound,Riley,2600,active,2024-01,2600,0
2024-02,CUST-1089,SMB,Event,Avery,2000,active,2024-01,2000,0
2024-02,CUST-1090,Mid-Market,Inbound,Jordan,12100,active,2024-01,12100,0
2024-02,CUST-1091,Enterprise,Outbound,Avery,32300,active,2024-01,32300,0
2024-02,CUST-1092,Mid-Market,Inbound,Casey,10900,active,2024-01,10900,0
2024-02,CUST-1093,SMB,Outbound,Jordan,2000,active,2024-01,2000,0
2024-02,CUST-1094,SMB,Partner,Taylor,2000,active,2024-01,2000,0
2024-02,CUST-1095,Mid-Market,Outbound,Jamie,6900,active,2024-01,6900,0
2024-02,CUST-1096,SMB,Inbound,Avery,2700,active,2024-01,2700,0
2024-02,CUST-1097,SMB,Inbound,Jamie,3200,active,2024-01,3200,0
2024-02,CUST-1098,Mid-Market,Inbound,Morgan,10400,active,2024-01,10400,0
